Index,Name
1,The Peninsula Bangkok Hotel
2,Chatrium Hotel Riverside Bangkok
3,"The Quarter Ladprao by UHG Hotel, Bangkok"
4,"The Quarter Phromphong By UHG Hotel, Bangkok"
5,Banyan Tree Bangkok Hotel
6,"Royal Orchid Sheraton Hotel & Towers, Bangkok"
7,SKYVIEW Hotel Bangkok
8,"The Quarter Ari by UHG Hotel, Bangkok"
9,Carlton Hotel Bangkok Sukhumvit
10,"Evergreen Place Siam by UHG Hotel, Bangkok"
11,Novotel Bangkok Platinum Pratunam Hotel
12,Sindhorn Midtown Hotel Bangkok
13,Millennium Hilton Bangkok Hotel
14,Siri Sathorn Bangkok by UHG Hotel
15,"Hotel Verve, Bangkok"
16,"FuramaXclusive Asoke Hotel, Bangkok"
17,Novotel Bangkok on Siam Square Hotel
18,"Asoke Residence Sukhumvit by UHG Condominium, Bangkok"
19,"FuramaXclusive Sathorn Hotel, Bangkok"
20,"Alt Hotel Nana by UHG, Bangkok"
