,Hotel_Name,Longitude,Latitude
0,The Peninsula Bangkok Hotel,100.58333,14.33333
1,Chatrium Hotel Riverside Bangkok,100.505683,13.706962
2,"The Quarter Ladprao by UHG Hotel, Bangkok",100.563321,13.81711
3,"The Quarter Phromphong By UHG Hotel, Bangkok",100.644533,13.881591
4,Banyan Tree Bangkok Hotel,100.520892,13.718254
5,"Royal Orchid Sheraton Hotel & Towers, Bangkok",100.644533,13.881591
6,SKYVIEW Hotel Bangkok,100.579005,13.722556
7,"The Quarter Ari by UHG Hotel, Bangkok",100.546856,13.784689
8,Carlton Hotel Bangkok Sukhumvit,100.5719346,13.7289055
9,"Evergreen Place Siam by UHG Hotel, Bangkok",100.644533,13.881591
10,Novotel Bangkok Platinum Pratunam Hotel,100.541595,13.754578
11,Sindhorn Midtown Hotel Bangkok,100.644533,13.881591
12,Millennium Hilton Bangkok Hotel,100.644533,13.881591
13,Siri Sathorn Bangkok by UHG Hotel,100.538691,13.725366
14,"Hotel Verve, Bangkok",100.644533,13.881591
15,"FuramaXclusive Asoke Hotel, Bangkok",100.644533,13.881591
16,Novotel Bangkok on Siam Square Hotel,100.644533,13.881591
17,"Asoke Residence Sukhumvit by UHG Condominium, Bangkok",100.644533,13.881591
18,"FuramaXclusive Sathorn Hotel, Bangkok",100.530221,13.727324
19,"Alt Hotel Nana by UHG, Bangkok",100.644533,13.881591
