Index,Name
1,Element Kuala Lumpur Hotel
2,"The RuMa Hotel and Residences, Kuala Lumpur"
3,Four Seasons Hotel Kuala Lumpur
4,"Mandarin Oriental, Kuala Lumpur Hotel"
5,Banyan Tree Kuala Lumpur Hotel
6,Hilton Kuala Lumpur Hotel
7,"Lanson Place Bukit Ceylon Serviced Residences Hotel, Kuala Lumpur"
8,Grand Hyatt Kuala Lumpur Hotel
9,The Majestic Hotel Kuala Lumpur
10,Oasia Suites Kuala Lumpur by Far East Hospitality Hotel
11,"Sunway Velocity Hotel, Kuala Lumpur"
12,PARKROYAL Serviced Suites Kuala Lumpur Hotel
13,"Sunway Putra Hotel, Kuala Lumpur"
14,"Traders Hotel, Kuala Lumpur"
15,Royale Chulan Kuala Lumpur Hotel
16,"Komune Living Hotel, Kuala Lumpur"
17,"Metro Hotel, Kuala Lumpur"
18,Pullman Kuala Lumpur City Centre Hotel & Residences
19,Corus Hotel Kuala Lumpur
20,Seri Pacific Hotel Kuala Lumpur
