,Hotel_name,Longitude,Latitude
0,Element Kuala Lumpur Hotel,101.718851,3.158886
1,"The RuMa Hotel and Residences, Kuala Lumpur",101.714528,3.152809
2,Four Seasons Hotel Kuala Lumpur,101.713893,3.15801
3,"Mandarin Oriental, Kuala Lumpur Hotel",101.711847,3.156755
4,Banyan Tree Kuala Lumpur Hotel,101.665405,3.170819
5,Hilton Kuala Lumpur Hotel,101.685774,3.135573
6,"Lanson Place Bukit Ceylon Serviced Residences Hotel, Kuala Lumpur",101.704126,3.147777
7,Grand Hyatt Kuala Lumpur Hotel,101.711747,3.15370825
8,The Majestic Hotel Kuala Lumpur,101.692242,3.139277
9,Oasia Suites Kuala Lumpur by Far East Hospitality Hotel,101.705198,3.153252
10,"Sunway Velocity Hotel, Kuala Lumpur",101.723764,3.126954
11,PARKROYAL Serviced Suites Kuala Lumpur Hotel,101.70905,3.14912
12,"Sunway Putra Hotel, Kuala Lumpur",101.693156,3.166515
13,"Traders Hotel, Kuala Lumpur",101.71523,3.154241
14,Royale Chulan Kuala Lumpur Hotel,101.685774,3.135573
15,"Komune Living Hotel, Kuala Lumpur",101.66534,3.114165
16,"Metro Hotel, Kuala Lumpur",101.708205,3.142466
17,Pullman Kuala Lumpur City Centre Hotel & Residences,101.714459,3.150524
18,Corus Hotel Kuala Lumpur,101.71525,3.160084
19,Seri Pacific Hotel Kuala Lumpur,101.6922745,3.1673105
