Hotel_name,Longitude,Latitude
Novotel Bangkok Platinum Pratunam Hotel,100.538396,13.754125
"Royal Orchid Sheraton Hotel & Towers, Bangkok",100.513574,13.729053
SKYVIEW Hotel Bangkok,100.528684,13.722024
Siri Sathorn Bangkok by UHG Hotel,100.538608,13.725605
The Peninsula Bangkok Hotel,100.5137895,13.724288999999999
"The Quarter Ari by UHG Hotel, Bangkok",100.5467,13.784726
"The Quarter Ladprao by UHG Hotel, Bangkok",100.561013,13.812383
Carlton Hotel Bangkok Sukhumvit,100.564474,13.734306
Sindhorn Midtown Hotel Bangkok,100.542938,13.741657
"The Quarter Phromphong By UHG Hotel, Bangkok",100.566862,13.737594
