Hotel_name,Longitude,Latitude
"Goodwood Park Hotel, Singapore",103.834426,1.308702
Lloyd's Inn Singapore Hotel,103.840366,1.297264
"Marina Bay Sands Hotel, Singapore",103.860723,1.283697
Orchard Hotel Singapore,103.828164,1.307669
"PARKROYAL COLLECTION Pickering, Singapore Hotel",103.856785,1.292146
Pan Pacific Singapore Hotel,103.858636,1.292018
"Park Hotel Alexandra, Singapore",103.805358,1.287554
"Shangri-La Hotel, Singapore",103.826373,1.311466
The Fullerton Hotel Singapore,103.853122,1.286165
YOTEL Singapore Hotel,103.831242,1.30658
