Hotel_name,Longitude,Latitude
"Hotel Verve, Bangkok",100.578996,13.72561
Novotel Bangkok on Siam Square Hotel,100.535043,13.745002
"FuramaXclusive Sathorn Hotel, Bangkok",100.53108950000001,13.723868
"Asoke Residence Sukhumvit by UHG Condominium, Bangkok",100.541551,13.74056
Siri Sathorn Bangkok by UHG Hotel,100.538608,13.725605
SKYVIEW Hotel Bangkok,100.528684,13.722024
"Alt Hotel Nana by UHG, Bangkok",100.552199,13.735083
"The Quarter Ladprao by UHG Hotel, Bangkok",100.561013,13.812383
"The Quarter Ari by UHG Hotel, Bangkok",100.5467,13.784726
Millennium Hilton Bangkok Hotel,100.511653,13.728635
