Hotel_name,Longitude,Latitude
"Metro Hotel, Kuala Lumpur",101.708205,3.142466
"Komune Living Hotel, Kuala Lumpur",101.66534,3.114165
Seri Pacific Hotel Kuala Lumpur,101.6922745,3.1673105
PARKROYAL Serviced Suites Kuala Lumpur Hotel,101.70905,3.14912
Corus Hotel Kuala Lumpur,101.71525,3.160084
Royale Chulan Kuala Lumpur Hotel,101.71722,3.149642
"Sunway Velocity Hotel, Kuala Lumpur",101.723764,3.126954
Oasia Suites Kuala Lumpur by Far East Hospitality Hotel,101.705198,3.153252
The Majestic Hotel Kuala Lumpur,101.692242,3.139277
Element Kuala Lumpur Hotel,101.718851,3.158886
