Hotel_name,Longitude,Latitude
Ascott Orchard Singapore Hotel,103.837168,1.304179
"Grand Park Orchard Hotel, Singapore",103.83469,1.30256
"PARKROYAL COLLECTION Pickering, Singapore Hotel",103.856785,1.292146
YOTEL Singapore Hotel,103.831242,1.30658
Orchard Hotel Singapore,103.828164,1.307669
YOTELAIR Singapore Changi Airport Hotel,103.989609,1.360391
Mandarin Orchard Singapore Hotel,103.836341,1.302065
"Park Hotel Clarke Quay, Singapore",103.842327,1.291546
"Park Hotel Alexandra, Singapore",103.805358,1.287554
Carlton Hotel Singapore,103.852519,1.295926
