Index,Name
1,The Fullerton Hotel Singapore
2,"Shangri-La Hotel, Singapore"
3,Pan Pacific Singapore Hotel
4,Orchard Hotel Singapore
5,"PARKROYAL COLLECTION Marina Bay, Singapore Hotel"
6,"Marina Bay Sands Hotel, Singapore"
7,"Goodwood Park Hotel, Singapore"
8,"Park Hotel Alexandra, Singapore"
9,"Park Hotel Clarke Quay, Singapore"
10,"PARKROYAL COLLECTION Pickering, Singapore Hotel"
11,Carlton Hotel Singapore
12,"Capri by Fraser Changi City Hotel, Singapore"
13,YOTEL Singapore Hotel
14,Ascott Orchard Singapore Hotel
15,Mandarin Orchard Singapore Hotel
16,Lloyd's Inn Singapore Hotel
17,"Grand Park Orchard Hotel, Singapore"
18,"Hotel NuVe Heritage, Singapore"
19,Hotel G Singapore
20,YOTELAIR Singapore Changi Airport Hotel
