,Hotel_Name,Longitude,Latitude
0,The Fullerton Hotel Singapore,103.853122,1.286165
1,"Shangri-La Hotel, Singapore",103.826373,1.311466
2,Pan Pacific Singapore Hotel,103.858636,1.292018
3,Orchard Hotel Singapore,103.828164,1.307669
4,"PARKROYAL COLLECTION Marina Bay, Singapore Hotel",103.833828,1.316382
5,"Marina Bay Sands Hotel, Singapore",103.860723,1.283697
6,"Goodwood Park Hotel, Singapore",103.834426,1.308702
7,"Park Hotel Alexandra, Singapore",103.805358,1.287554
8,"Park Hotel Clarke Quay, Singapore",103.842327,1.291546
9,"PARKROYAL COLLECTION Pickering, Singapore Hotel",103.856785,1.292146
10,Carlton Hotel Singapore,103.852519,1.295926
11,"Capri by Fraser Changi City Hotel, Singapore",103.963584,1.334266
12,YOTEL Singapore Hotel,103.831242,1.30658
13,Ascott Orchard Singapore Hotel,103.837168,1.304179
14,Mandarin Orchard Singapore Hotel,103.836341,1.302065
15,Lloyd's Inn Singapore Hotel,103.840366,1.297264
16,"Grand Park Orchard Hotel, Singapore",103.83469,1.30256
17,"Hotel NuVe Heritage, Singapore",103.855342,1.296514
18,Hotel G Singapore,103.851507,1.300916
19,YOTELAIR Singapore Changi Airport Hotel,103.989609,1.360391
